image_path,speed_kmh,acceleration_ms2,vibration_hz,temperature_c,hazard
synthetic_data/images/normal_1.png,42.61,0.07,7.0,27.41,normal
synthetic_data/images/normal_2.png,60.83,-1.56,9.82,29.5,normal
synthetic_data/images/normal_3.png,69.57,0.33,13.59,31.72,normal
synthetic_data/images/normal_4.png,66.52,-0.2,5.26,34.07,normal
synthetic_data/images/normal_5.png,70.35,0.66,14.73,25.16,normal
synthetic_data/images/normal_6.png,49.93,0.06,11.46,23.9,normal
synthetic_data/images/normal_7.png,57.14,0.07,5.36,33.67,normal
synthetic_data/images/normal_8.png,79.3,0.11,14.95,30.4,normal
synthetic_data/images/normal_9.png,66.13,-0.4,8.23,26.58,normal
synthetic_data/images/normal_10.png,45.09,0.73,12.36,16.69,normal
synthetic_data/images/normal_11.png,56.34,0.44,7.88,27.65,normal
synthetic_data/images/normal_12.png,68.15,0.23,13.32,28.44,normal
synthetic_data/images/normal_13.png,45.85,0.13,13.74,21.49,normal
synthetic_data/images/normal_14.png,44.25,-0.17,6.13,27.74,normal
synthetic_data/images/normal_15.png,52.56,0.13,14.14,20.17,normal
synthetic_data/images/normal_16.png,46.54,0.9,12.13,22.81,normal
synthetic_data/images/normal_17.png,44.33,0.01,12.14,18.09,normal
synthetic_data/images/normal_18.png,52.83,0.97,13.08,16.5,normal
synthetic_data/images/normal_19.png,79.27,-0.5,13.92,20.68,normal
synthetic_data/images/normal_20.png,52.44,-0.14,5.64,17.66,normal
synthetic_data/images/normal_21.png,59.2,0.52,5.32,24.2,normal
synthetic_data/images/normal_22.png,62.3,-0.46,7.43,16.73,normal
synthetic_data/images/normal_23.png,50.14,0.91,14.32,28.89,normal
synthetic_data/images/normal_24.png,68.47,0.4,5.99,21.32,normal
synthetic_data/images/normal_25.png,69.16,0.52,11.08,18.48,normal
synthetic_data/images/normal_26.png,65.82,0.83,9.23,23.72,normal
synthetic_data/images/normal_27.png,47.65,-0.15,10.06,34.07,normal
synthetic_data/images/normal_28.png,55.0,-0.02,8.09,28.8,normal
synthetic_data/images/normal_29.png,50.99,0.15,5.29,23.82,normal
synthetic_data/images/normal_30.png,43.95,0.09,7.15,24.48,normal
synthetic_data/images/normal_31.png,74.42,-0.52,10.09,33.02,normal
synthetic_data/images/normal_32.png,43.27,-0.01,12.23,17.87,normal
synthetic_data/images/normal_33.png,60.17,0.66,8.42,21.1,normal
synthetic_data/images/normal_34.png,77.06,0.43,8.99,22.04,normal
synthetic_data/images/normal_35.png,62.01,0.28,12.16,27.82,normal
synthetic_data/images/normal_36.png,61.11,0.66,6.02,24.27,normal
synthetic_data/images/normal_37.png,67.68,-0.01,8.89,33.19,normal
synthetic_data/images/normal_38.png,50.9,0.36,12.35,18.81,normal
synthetic_data/images/normal_39.png,48.03,-0.0,14.45,32.46,normal
synthetic_data/images/normal_40.png,71.46,-0.45,7.36,24.78,normal
synthetic_data/images/normal_41.png,55.11,0.53,10.58,27.75,normal
synthetic_data/images/normal_42.png,70.51,-0.07,11.0,23.0,normal
synthetic_data/images/normal_43.png,76.94,-0.45,9.97,21.11,normal
synthetic_data/images/normal_44.png,55.85,0.76,8.21,34.89,normal
synthetic_data/images/normal_45.png,44.03,0.63,9.27,29.16,normal
synthetic_data/images/normal_46.png,59.73,-0.07,11.49,27.3,normal
synthetic_data/images/normal_47.png,44.29,-0.1,13.31,18.25,normal
synthetic_data/images/normal_48.png,71.4,-0.45,10.54,29.2,normal
synthetic_data/images/normal_49.png,59.33,-0.88,6.99,26.82,normal
synthetic_data/images/normal_50.png,51.45,0.34,9.59,29.61,normal
synthetic_data/images/normal_51.png,40.93,-0.21,10.22,27.26,normal
synthetic_data/images/normal_52.png,69.81,-0.81,5.33,31.88,normal
synthetic_data/images/normal_53.png,76.17,0.97,7.4,25.68,normal
synthetic_data/images/normal_54.png,48.54,0.36,9.1,20.55,normal
synthetic_data/images/normal_55.png,50.9,-0.45,14.66,29.79,normal
synthetic_data/images/normal_56.png,51.97,-0.87,14.09,25.42,normal
synthetic_data/images/normal_57.png,68.1,0.69,10.46,31.94,normal
synthetic_data/images/normal_58.png,62.81,-0.04,9.47,24.16,normal
synthetic_data/images/normal_59.png,45.89,0.79,5.97,20.02,normal
synthetic_data/images/normal_60.png,64.35,-0.18,10.34,25.39,normal
synthetic_data/images/normal_61.png,48.65,-0.46,7.43,32.08,normal
synthetic_data/images/normal_62.png,64.81,-0.13,9.1,17.14,normal
synthetic_data/images/normal_63.png,45.16,0.85,12.91,23.41,normal
synthetic_data/images/normal_64.png,71.77,0.26,12.28,18.48,normal
synthetic_data/images/normal_65.png,70.17,0.69,5.8,15.6,normal
